,tag,name,role,expLevel,trophies,donations,nWar
9,#202YUCQQL,MysterClash,elder,12,4650,360,1
15,#LJPPJQR80,Maria,elder,11,4551,176,1
16,#PLU9LP908,shelby,elder,11,4542,136,1
12,#89GJQPYU0,mateusclash,elder,11,4609,54,1
8,#8VV2YUL0L,Anthoniel,elder,10,4667,8,1
23,#228VQ0LC0,SnooP,elder,12,4504,0,0
32,#YRUQ0GUJC,pykeno,elder,12,4269,0,0
