,Tag,Nome,TotalCartas,TotalVitorias,TotalPontos
0,#YRUQ0GUJC ,pykeno,510,1,10
1,#92C9JP0V8 ,anthoni,480,1,7
2,#L2C9Y0CG0 ,yezo,400,1,5
